area_number,start_lng,start_lat,end_lng,end_lat,status,time
77,103.92599999999996,30.995,103.99899999999995,30.932000000000002,1,2019-08-23 Fri 15:12:32
78,103.92599999999996,30.932000000000002,103.99899999999995,30.869000000000003,1,2019-08-23 Fri 15:12:32
79,103.92599999999996,30.869000000000003,103.99899999999995,30.806000000000004,1,2019-08-23 Fri 15:12:32
80,103.92599999999996,30.806000000000004,103.99899999999995,30.743000000000006,1,2019-08-23 Fri 15:12:32
81,103.92599999999996,30.743000000000006,103.99899999999995,30.680000000000007,1,2019-08-23 Fri 15:12:32
82,103.92599999999996,30.680000000000007,103.99899999999995,30.617000000000008,1,2019-08-23 Fri 15:12:32
83,103.92599999999996,30.617000000000008,103.99899999999995,30.55400000000001,1,2019-08-23 Fri 15:12:33
84,103.92599999999996,30.55400000000001,103.99899999999995,30.49100000000001,1,2019-08-23 Fri 15:12:33
85,103.92599999999996,30.49100000000001,103.99899999999995,30.42800000000001,1,2019-08-23 Fri 15:12:33
86,103.92599999999996,30.42800000000001,103.99899999999995,30.365000000000013,1,2019-08-23 Fri 15:12:33
87,103.92599999999996,30.365000000000013,103.99899999999995,30.302000000000014,1,2019-08-23 Fri 15:12:33
88,103.99899999999995,31.058,104.07199999999995,30.995,1,2019-08-23 Fri 15:12:33
89,103.99899999999995,30.995,104.07199999999995,30.932000000000002,1,2019-08-23 Fri 15:12:34
90,103.99899999999995,30.932000000000002,104.07199999999995,30.869000000000003,1,2019-08-23 Fri 15:12:34
91,103.99899999999995,30.869000000000003,104.07199999999995,30.806000000000004,1,2019-08-23 Fri 15:12:34
92,103.99899999999995,30.806000000000004,104.07199999999995,30.743000000000006,1,2019-08-23 Fri 15:12:34
93,103.99899999999995,30.743000000000006,104.07199999999995,30.680000000000007,1,2019-08-23 Fri 15:12:34
94,103.99899999999995,30.680000000000007,104.07199999999995,30.617000000000008,1,2019-08-23 Fri 15:12:34
95,103.99899999999995,30.617000000000008,104.07199999999995,30.55400000000001,1,2019-08-23 Fri 15:12:34
96,103.99899999999995,30.55400000000001,104.07199999999995,30.49100000000001,1,2019-08-23 Fri 15:12:35
97,103.99899999999995,30.49100000000001,104.07199999999995,30.42800000000001,1,2019-08-23 Fri 15:12:35
98,103.99899999999995,30.42800000000001,104.07199999999995,30.365000000000013,1,2019-08-23 Fri 15:12:35
99,103.99899999999995,30.365000000000013,104.07199999999995,30.302000000000014,1,2019-08-23 Fri 15:12:35
100,103.99899999999995,30.302000000000014,104.07199999999995,30.239000000000015,1,2019-08-23 Fri 15:12:35
101,104.07199999999995,31.058,104.14499999999994,30.995,1,2019-08-23 Fri 15:12:35
102,104.07199999999995,30.995,104.14499999999994,30.932000000000002,1,2019-08-23 Fri 15:12:35
103,104.07199999999995,30.932000000000002,104.14499999999994,30.869000000000003,1,2019-08-23 Fri 15:12:35
104,104.07199999999995,30.869000000000003,104.14499999999994,30.806000000000004,1,2019-08-23 Fri 15:12:36
105,104.07199999999995,30.806000000000004,104.14499999999994,30.743000000000006,1,2019-08-23 Fri 15:12:36
106,104.07199999999995,30.743000000000006,104.14499999999994,30.680000000000007,1,2019-08-23 Fri 15:12:36
107,104.07199999999995,30.680000000000007,104.14499999999994,30.617000000000008,1,2019-08-23 Fri 15:12:36
108,104.07199999999995,30.617000000000008,104.14499999999994,30.55400000000001,1,2019-08-23 Fri 15:12:36
109,104.07199999999995,30.55400000000001,104.14499999999994,30.49100000000001,1,2019-08-23 Fri 15:12:36
110,104.07199999999995,30.49100000000001,104.14499999999994,30.42800000000001,1,2019-08-23 Fri 15:12:36
111,104.07199999999995,30.42800000000001,104.14499999999994,30.365000000000013,1,2019-08-23 Fri 15:12:37
112,104.07199999999995,30.365000000000013,104.14499999999994,30.302000000000014,1,2019-08-23 Fri 15:12:37
113,104.07199999999995,30.302000000000014,104.14499999999994,30.239000000000015,1,2019-08-23 Fri 15:12:37
114,104.14499999999994,30.932000000000002,104.21799999999993,30.869000000000003,1,2019-08-23 Fri 15:12:37
115,104.14499999999994,30.869000000000003,104.21799999999993,30.806000000000004,1,2019-08-23 Fri 15:12:37
116,104.14499999999994,30.806000000000004,104.21799999999993,30.743000000000006,1,2019-08-23 Fri 15:12:37
117,104.14499999999994,30.743000000000006,104.21799999999993,30.680000000000007,1,2019-08-23 Fri 15:12:38
118,104.14499999999994,30.680000000000007,104.21799999999993,30.617000000000008,1,2019-08-23 Fri 15:12:38
119,104.14499999999994,30.617000000000008,104.21799999999993,30.55400000000001,1,2019-08-23 Fri 15:12:38
120,104.14499999999994,30.55400000000001,104.21799999999993,30.49100000000001,1,2019-08-23 Fri 15:12:38
121,104.14499999999994,30.49100000000001,104.21799999999993,30.42800000000001,1,2019-08-23 Fri 15:12:38
122,104.14499999999994,30.42800000000001,104.21799999999993,30.365000000000013,1,2019-08-23 Fri 15:12:38
123,104.14499999999994,30.365000000000013,104.21799999999993,30.302000000000014,1,2019-08-23 Fri 15:12:38
124,104.21799999999993,30.932000000000002,104.29099999999993,30.869000000000003,1,2019-08-23 Fri 15:12:39
125,104.21799999999993,30.869000000000003,104.29099999999993,30.806000000000004,1,2019-08-23 Fri 15:12:39
126,104.21799999999993,30.806000000000004,104.29099999999993,30.743000000000006,1,2019-08-23 Fri 15:12:39
127,104.21799999999993,30.743000000000006,104.29099999999993,30.680000000000007,1,2019-08-23 Fri 15:12:39
128,104.21799999999993,30.680000000000007,104.29099999999993,30.617000000000008,1,2019-08-23 Fri 15:12:39
129,104.21799999999993,30.617000000000008,104.29099999999993,30.55400000000001,1,2019-08-23 Fri 15:12:39
130,104.21799999999993,30.55400000000001,104.29099999999993,30.49100000000001,1,2019-08-23 Fri 15:12:39
131,104.29099999999993,30.869000000000003,104.36399999999992,30.806000000000004,1,2019-08-23 Fri 15:12:40
132,104.29099999999993,30.806000000000004,104.36399999999992,30.743000000000006,1,2019-08-23 Fri 15:12:41
133,104.29099999999993,30.743000000000006,104.36399999999992,30.680000000000007,1,2019-08-23 Fri 15:12:41
134,104.29099999999993,30.680000000000007,104.36399999999992,30.617000000000008,1,2019-08-23 Fri 15:12:41
135,104.29099999999993,30.617000000000008,104.36399999999992,30.55400000000001,1,2019-08-23 Fri 15:12:41
136,104.29099999999993,30.55400000000001,104.36399999999992,30.49100000000001,1,2019-08-23 Fri 15:12:41
137,104.36399999999992,30.932000000000002,104.43699999999991,30.869000000000003,1,2019-08-23 Fri 15:12:42
138,104.36399999999992,30.869000000000003,104.43699999999991,30.806000000000004,1,2019-08-23 Fri 15:12:42
139,104.36399999999992,30.806000000000004,104.43699999999991,30.743000000000006,1,2019-08-23 Fri 15:12:42
140,104.36399999999992,30.743000000000006,104.43699999999991,30.680000000000007,1,2019-08-23 Fri 15:12:42
141,104.36399999999992,30.55400000000001,104.43699999999991,30.49100000000001,1,2019-08-23 Fri 15:12:42
